seed,Accuracy,Precision,Recall,F1,AUC
0,0.5298507462686567,0.624515503875969,0.6779162339910003,0.5180131316014844,0.8078920041536863
1,0.6194029850746269,0.639950816007154,0.7540584415584416,0.5800921658986175,0.9111201298701298
2,0.48507462686567165,0.5854741896758703,0.656140350877193,0.45977212971078,0.781140350877193
3,0.6119402985074627,0.6411408039523916,0.7306422018348624,0.5817527010804322,0.846605504587156
4,0.5597014925373134,0.6252314814814814,0.6985321100917432,0.5380660239555946,0.833394495412844
5,0.5671641791044776,0.6354530631260191,0.7012807199723088,0.5502314814814815,0.8746971270335757
6,0.5522388059701493,0.6487154150197628,0.6844362745098039,0.5472972972972974,0.8998161764705883
7,0.5597014925373134,0.5995916515426497,0.6441707717569787,0.5380660239555946,0.7490968801313629
8,0.582089552238806,0.638507326007326,0.7291666666666667,0.5568154972832506,0.9011363636363636
9,0.5373134328358209,0.6555555555555556,0.7075471698113207,0.5306214689265537,0.8632075471698113
10,0.5970149253731343,0.6447938026885396,0.7199723087573555,0.575750469043152,0.8778123918310834
11,0.5,0.5930952380952381,0.6647703329119259,0.4754309085597429,0.7859249894648125
12,0.5746268656716418,0.6761363636363636,0.7233009708737864,0.5692290338954373,0.8844347009082367
13,0.5149253731343284,0.5817129629629629,0.6382687034860948,0.48749632244777874,0.8135526831179005
14,0.5895522388059702,0.6252252252252253,0.7177830003916961,0.5556761319105323,0.826478652565609
15,0.5671641791044776,0.6507142857142857,0.7132749326145553,0.5551739926739927,0.8911725067385445
16,0.5597014925373134,0.6131944444444444,0.6467146714671468,0.5486154724521839,0.8415841584158416
17,0.6044776119402985,0.6194196428571428,0.709557383470427,0.5636251920122888,0.8558558558558559
18,0.5746268656716418,0.6377314814814814,0.7059536171685704,0.5566262262727114,0.8670820353063344
19,0.582089552238806,0.6212429378531074,0.6968807339449541,0.5533333333333333,0.8264220183486238
20,0.5671641791044776,0.6314814814814814,0.7022792022792023,0.5474027486606103,0.879985754985755
21,0.5895522388059702,0.6539715816445376,0.7118589743589744,0.5770930165834625,0.8451923076923078
22,0.5149253731343284,0.6437188565434041,0.6756410256410257,0.5116344266890944,0.8439102564102564
23,0.5970149253731343,0.6447938026885396,0.7199723087573555,0.575750469043152,0.8629283489096573
24,0.5970149253731343,0.6425153793574846,0.7054187192118226,0.5786163522012578,0.8082101806239737
25,0.582089552238806,0.6662665066026411,0.7168806764797996,0.574410163339383,0.8518634512997182
26,0.6492537313432836,0.6713451605659106,0.7162698412698413,0.6366049275864059,0.8398526077097506
27,0.5447761194029851,0.6174953095684803,0.6734164070612668,0.5283595868674629,0.7975077881619937
28,0.5149253731343284,0.5960384153661464,0.6282051282051282,0.5049730036942313,0.7557692307692309
29,0.5522388059701493,0.6231073841136734,0.6939449541284404,0.5317959468902865,0.7644036697247706
