Project,Metric,Baseline Median,Solution Median,p-value,Significant
pytorch,Accuracy,0.6391,0.8874,0.0,Yes
pytorch,Precision,0.6128,0.7313,0.0,Yes
pytorch,Recall,0.7631,0.8062,0.0064,Yes
pytorch,F1,0.5663,0.7601,0.0,Yes
pytorch,AUC,0.8445,0.9301,0.0,Yes
tensorflow,Accuracy,0.557,0.9128,0.0,Yes
tensorflow,Precision,0.6381,0.8508,0.0,Yes
tensorflow,Recall,0.7106,0.8911,0.0,Yes
tensorflow,F1,0.5417,0.8637,0.0,Yes
tensorflow,AUC,0.8687,0.9579,0.0,Yes
keras,Accuracy,0.5672,0.8918,0.0,Yes
keras,Precision,0.6366,0.8309,0.0,Yes
keras,Recall,0.7038,0.8595,0.0,Yes
keras,F1,0.5518,0.8361,0.0,Yes
keras,AUC,0.8446,0.9332,0.0,Yes
incubator-mxnet,Accuracy,0.6058,0.9135,0.0,Yes
incubator-mxnet,Precision,0.6106,0.8089,0.0,Yes
incubator-mxnet,Recall,0.7488,0.868,0.0,Yes
incubator-mxnet,F1,0.5407,0.8164,0.0,Yes
incubator-mxnet,AUC,0.893,0.9387,0.0,Yes
caffe,Accuracy,0.5517,0.8103,0.0,Yes
caffe,Precision,0.5626,0.6172,0.0,Yes
caffe,Recall,0.6547,0.7297,0.0281,Yes
caffe,F1,0.4775,0.6204,0.0,Yes
caffe,AUC,0.7472,0.8339,0.0,Yes
