Project,Metric,Baseline Median,Solution Median,p-value,Significant
pytorch,Accuracy,0.6391,0.8841,< 0.0001,Yes
pytorch,Precision,0.6128,0.7464,< 0.0001,Yes
pytorch,Recall,0.7631,0.8154,0.0004,Yes
pytorch,F1,0.5663,0.7691,< 0.0001,Yes
pytorch,AUC,0.8445,0.929,< 0.0001,Yes
tensorflow,Accuracy,0.557,0.9111,< 0.0001,Yes
tensorflow,Precision,0.6381,0.8433,< 0.0001,Yes
tensorflow,Recall,0.7106,0.8881,< 0.0001,Yes
tensorflow,F1,0.5417,0.8575,< 0.0001,Yes
tensorflow,AUC,0.8687,0.953,< 0.0001,Yes
keras,Accuracy,0.5672,0.8731,< 0.0001,Yes
keras,Precision,0.6366,0.8081,< 0.0001,Yes
keras,Recall,0.7038,0.8319,< 0.0001,Yes
keras,F1,0.5518,0.8143,< 0.0001,Yes
keras,AUC,0.8446,0.9244,< 0.0001,Yes
incubator-mxnet,Accuracy,0.6058,0.9135,< 0.0001,Yes
incubator-mxnet,Precision,0.6106,0.7897,< 0.0001,Yes
incubator-mxnet,Recall,0.7488,0.8875,< 0.0001,Yes
incubator-mxnet,F1,0.5407,0.8131,< 0.0001,Yes
incubator-mxnet,AUC,0.893,0.9447,< 0.0001,Yes
caffe,Accuracy,0.5517,0.819,< 0.0001,Yes
caffe,Precision,0.5626,0.6144,0.0005,Yes
caffe,Recall,0.6547,0.6909,0.1809,No
caffe,F1,0.4775,0.6074,< 0.0001,Yes
caffe,AUC,0.7472,0.8241,0.0002,Yes
