seed,Accuracy,Precision,Recall,F1,AUC
0,0.7758620689655172,0.6324404761904762,0.7492997198879552,0.6474988312295465,0.8207282913165266
1,0.8275862068965517,0.6499032882011606,0.7170868347338936,0.6712018140589568,0.7703081232492996
2,0.7413793103448276,0.6739130434782609,0.85,0.6698292220113852,0.89
3,0.8448275862068966,0.6923076923076923,0.6360544217687075,0.6554455445544555,0.8140589569160998
4,0.8103448275862069,0.575,0.5840336134453781,0.5788778877887789,0.5994397759103641
5,0.7068965517241379,0.5344332855093257,0.6111111111111112,0.505764411027569,0.6574074074074074
6,0.7586206896551724,0.6398852223816356,0.7210884353741496,0.652991452991453,0.8072562358276644
7,0.9310344827586207,0.7232142857142857,0.6157407407407407,0.6484848484848484,0.7361111111111112
8,0.6896551724137931,0.5909090909090909,0.8333333333333333,0.5538461538461539,0.8842592592592593
9,0.39655172413793105,0.5512820512820513,0.6759259259259259,0.3532972284166932,0.8703703703703703
10,0.9310344827586207,0.9642857142857143,0.6666666666666666,0.7314814814814814,0.8397435897435898
11,0.8793103448275862,0.7528301886792452,0.6675,0.696788648244959,0.7949999999999999
12,0.7241379310344828,0.5487179487179488,0.564625850340136,0.5512572533849129,0.6213151927437641
13,0.7931034482758621,0.6201298701298701,0.7371794871794872,0.6375,0.8717948717948718
14,0.896551724137931,0.7791666666666667,0.835,0.8027210884353742,0.88
15,0.8448275862068966,0.4537037037037037,0.46226415094339623,0.45794392523364486,0.8226415094339623
16,0.7931034482758621,0.6478632478632479,0.6961451247165533,0.6634429400386848,0.7709750566893423
17,0.7931034482758621,0.5931623931623932,0.7056603773584906,0.6054421768707483,0.8943396226415095
18,0.6896551724137931,0.5668016194331984,0.6386554621848739,0.5538461538461539,0.8067226890756303
19,0.7413793103448276,0.645748987854251,0.725,0.6551724137931034,0.8583333333333332
20,0.6379310344827587,0.625,0.7941176470588236,0.5703703703703704,0.8795518207282913
21,0.896551724137931,0.6303030303030303,0.5811320754716981,0.5972222222222222,0.7283018867924529
22,0.8275862068965517,0.585,0.6089743589743589,0.5938375350140056,0.7403846153846154
23,0.7758620689655172,0.6130952380952381,0.7867924528301887,0.6220551378446115,0.8603773584905661
24,0.896551724137931,0.7825,0.7825,0.7825,0.8925000000000001
25,0.6206896551724138,0.5173745173745173,0.5378151260504201,0.48214285714285715,0.7030812324929971
26,0.9310344827586207,0.8141025641025641,0.8141025641025641,0.8141025641025641,0.8942307692307693
27,0.8793103448275862,0.6895833333333333,0.8433962264150944,0.732013201320132,0.9169811320754717
28,0.8620689655172413,0.605,0.6944444444444444,0.6282051282051282,0.8333333333333334
29,0.9310344827586207,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.6964285714285714
