seed,Accuracy,Precision,Recall,F1,AUC
0,0.9403973509933775,0.8579706048615037,0.9462649753347427,0.8938364190297633,0.9770965468639887
1,0.6821192052980133,0.6332614942528736,0.7434383202099737,0.6151231945624469,0.8467847769028871
2,0.9072847682119205,0.7645390070921986,0.6726851851851852,0.705406911928651,0.9212962962962963
3,0.9205298013245033,0.8270992366412213,0.8270992366412213,0.8270992366412213,0.9465648854961832
4,0.8807947019867549,0.7161654135338346,0.7161654135338346,0.7161654135338346,0.8984962406015038
5,0.8543046357615894,0.693010752688172,0.8151887620719929,0.7275262467191601,0.8920105355575065
6,0.9072847682119205,0.759022309711286,0.8655092592592593,0.7982824427480917,0.9421296296296295
7,0.9470198675496688,0.8787234042553191,0.778415015641293,0.8189448441247003,0.9739311783107403
8,0.8807947019867549,0.7475319396051103,0.825381679389313,0.7770669291338583,0.935496183206107
9,0.9006622516556292,0.9464285714285714,0.7115384615384616,0.7689954105048444,0.9233846153846155
10,0.9006622516556292,0.7452445652173914,0.8342592592592593,0.779175197426148,0.9259259259259259
11,0.8940397350993378,0.7532307692307691,0.8437761069340017,0.7871740662438337,0.9440267335004177
12,0.9072847682119205,0.7864468864468865,0.8118022328548644,0.7982824427480917,0.9389952153110048
13,0.9470198675496688,0.8498329156223893,0.8877314814814814,0.8674275680421422,0.9638888888888888
14,0.8807947019867549,0.7201587301587302,0.8044337137840212,0.7510989010989011,0.931079894644425
15,0.8543046357615894,0.71564039408867,0.8490829346092503,0.7519414575866188,0.935805422647528
16,0.9072847682119205,0.7770992366412214,0.8032581453634084,0.789274322169059,0.9269005847953217
17,0.8741721854304636,0.6351674641148326,0.7032374100719425,0.6584930365432686,0.8830935251798561
18,0.8410596026490066,0.7213134186818397,0.8170855978260869,0.7504132231404959,0.8838315217391304
19,0.9139072847682119,0.8027180406212664,0.8868320610687023,0.8362119315811432,0.966412213740458
20,0.8079470198675497,0.6972175021240442,0.8153872282608696,0.7218799618926643,0.9031929347826086
21,0.8278145695364238,0.6584975369458128,0.8154411764705882,0.6884126984126984,0.9073529411764707
22,0.8675496688741722,0.6962649753347427,0.7326649958228906,0.7118320610687023,0.8955722639933167
23,0.8874172185430463,0.7515969802555169,0.845494417862839,0.7858156028368795,0.9453748006379585
24,0.8807947019867549,0.6909141583054627,0.6503511852502195,0.6669117647058824,0.8766461808604038
25,0.9006622516556292,0.7854864433811802,0.7732824427480915,0.779175197426148,0.9404580152671755
26,0.8410596026490066,0.7048309178743961,0.8236641221374046,0.7369337979094077,0.9137404580152673
27,0.8807947019867549,0.7250688705234161,0.8782407407407408,0.7691915760869565,0.9425925925925926
28,0.9271523178807947,0.8490740740740741,0.8006379585326954,0.8222578919208132,0.9441786283891547
29,0.7947019867549668,0.6813664596273292,0.8208791208791208,0.7026992696093999,0.9109890109890111
